age,location,ethnicity,occupation,status,description,scam,age_group,country
45,"New York, United states",white,engineering,divorced,"I’m balanced: secure enough to be vulnerable, strong enough to be gentle, wise enough to be humble, and powerful enough to serve others. I don’t let words of others stop me. I only fear GOD.I Have a quiet confidence, faith, and belief that I can conquer WHATEVER life may bring. I Put God first, family second, and myself third. Most of all, I try ENORMOUSLY and i mean i try really hard to respect others BUT!!!remain very true to myself. One more thing… Ma life just keeps gettin’ better…",1,41-50,United states
22,"Debry, United Kingdom",mixed,self-employed,single,easygoing young girl looking for a nice partner,1,21-30,United Kingdom
49,"Providence, Utah, United States",white,military,divorced,"I enjoy a variety of things. I am a 49 years old sports fan man from Utah. I have brown eyes and black hair, my body is athletic, and I live alone. I have children, and sometimes they live at home I’m single, white / caucasian, but I like the funny woman. I’m looking for you, if you are a hetero, single and clever girl, who likes athletic man. Come with me!",1,41-50,United States
48,"Castrop-Rauxel, Germany, or New York, or Los Angeles, United States",white,finance,widowed,"I am an optimistic person who has different interests, I am a down to earth woman who consider herself confident, intelligent, honest, romantic, spontaneous, treatment with a big heart, easy to get along with positive personality, ambitious, driven, confident, expressive, attentive, passionate, good Christian with a sense of humor, I love cooking, sports, movies, music, I’m open minded and fun loving, little things in life count, I’m drug, smoke and disease free, is a relaxed person, easy to get along with a good listener with a good sense of humor, When the relationship is very optimistic.",1,41-50,United States
48,"Miami, Florida, United States",white,other,widowed,"am a gentle woman, i love going to church, willing to meet someone who is ready to be in a serious relationship, i like puzzle, do you, why not fix this and message me, distance is never a problem for me",1,41-50,United States
49,"Guadalajara, Jalisco, Mexico",hispanic,writing,divorced,"I am a respectful, happy, optimistic man with big dreams. I want to share my life with a woman who likes romance, adventure, dreams and who wants a family, united, with values ​​and big dreams.",0,41-50,Mexico
49,"Graz, Austria",white,self-employed,single,"Hi there, i'm looking for a beautiful and sympathich peruvian woman for relationship, fun, romance, or friendship.

My name is Ronald and i come from Austria. I would be interesting to move to Peru and to live there.",0,41-50,Austria
35,"New York, United States",middle eastern,other,single,"I love mostly outdoors for fun, like i love reading, listening to music and clubbing,I love dirt bike riding, snowboarding, taking my boat to the lake, wake boarding and fishing and i also love visiting new places and lot more…. I am single and never married
I am not married for once , but i have been into a long time relationship which laid me into hard times and it hurts me so dearly and i don’t to be hurt by any man like that again.. I don’t have kids. I will love to have kids if i can find a very good and loving man of my dream . my best colour is Blue and i can also go with Yellow . I love vegetable and shrimp. I stay alone .
I don’t smoke and i dont drink socially",1,31-40,United States
61,"Guayaquil, Ecuador",hispanic,other,divorced,"Weight 75 kilo, mode 1.70 I like walking, the beach, traveling, the movies and many more things",0,61-70,Ecuador
46,"Manchester, England, United Kingdom",mixed,engineering,widowed,my name is john brown a hard working man i need a nice woman somebody who love me for who i am a honesty person please you can contact me with my private email address if you really want to know me at johnbe2014@gmail.com so that i can send more pics also for fulther discusion i will like to hear from you soon thank you,1,41-50,United Kingdom
45,"Copenhagen, Denmark",white,engineering,single,"People consider me kind, honest and reliable. I am not perfect, but I have a lot of good qualities such as sincerity, understanding and patience. I really love nature, long walks and just being in the forest or near the water. I enjoy going out and spending my spare time in a company of good friends. I also like cooking something special; I enjoy fine candle-light dinners. I like traveling and adventures. But my main passion is music… I know how music influence and changes the mood, that is why I prefer to start my day by turning on my radio or CD player and dancing while getting ready to go to work. I am sincere in my feelings, deeds and attitude to people. I cannot lie. I like and can listen to other people. I have a gentle character and cannot quarrel and call names. I am tolerant to other people weak points. All of us are different.",1,41-50,Denmark
41,"Barranquilla, Atlántico, Colombia",hispanic,hospitality,single,"I consider myself a charismatic hard-working person. I like to share a lot with my family, movies, nature, traveling a lot and I don't like lies, seriousness in everything, I want a very sincere and beautiful woman at heart.",0,41-50,Colombia
46,"Springfield, MO, USA",white,other,widowed,"I'm a forty-four-year-old widower who, after four years, is ready to give love another try. I am a natural healer and a writer. I like to read, go for walks, watch movies and generally hang out with my significant other. I'm up for meeting new people, trying new things and having new experiences - hope you are too. Send me a message and let's see if we connect.",0,41-50,USA
59,"Sanford, Florida, United states",white,sales,single,"I don’t like writing about myself. I am a 59 years old nice-looking man from Florida. I have brown eyes and dark brown hair, my body is about average, and I live with kids. I have children, and they live away from home I’m not looking for a one night stand or a fling or anything like that.",1,51-60,United states
28,"Ivanovo, Russia",white,carer,single,i am decent and carrying woman. who want and can love. i am ready for relation and want find here.,1,21-30,Russia
48,"Kansas City, MO, USA",white,other,single,Desperately seeking my person. I'm a hopeless romantic who just wants to find a quiet place to enjoy life with an amazing woman. Feel free to ask me anything.,0,41-50,USA
52,"Caracas, Distrito Capital, Venezuela",hispanic,self-employed,single,"I am a very spiritual person, sincere, honest, pleasant, loyal-faithful, correct, pleasant, understandable, affectionate and full of love to give",0,51-60,Venezuela
34,"Medina, Texas, United States",white,technology,single,"I am definitely not here to “play” and I think you and I are searching for the same…a friendship…and if that friendship should blossom into something more we would be blessed with one of life’s most beautiful gifts…the gift of love. I have held on tightly to the hope that this blessing will be bestowed upon me. To find that one special man or as you say “beloved partner in life” with whom I can share everything–unite my heart, body and soul. That one special man who will cherish and respect me, with all my imperfections, as much as I will always cherish and respect him. That one special man who thinks of me as his queen. This would be a dream come true…
Cheers!
Donna.",1,31-40,United States
34,"Miami, Florida, United States",black,other,single,"Am a single lady and looking for a serious man who is caring,loving and romantic.",1,31-40,United States
44,"Cocoa, Florida, United States",white,military,widowed,"am single and searching that was why i’m on this dating site, i’m 46years old{no long way to look for a relationship, distance or age does not really matter the most important thing is true love, trust and care}, am looking for a serious relationship no games, i just want a woman that will love me for me and care for me….i have a son , am divorced for 5years now",1,41-50,United States
59,"Texas City, Texas, United States, or Washington, or Los Angeles, California, United States",white,military,widowed,Am down to earth and God fearing man who will do anything to make someone happy,1,51-60,United States
50,"45560 Oropesa, Toledo, España",white,retired,single,"I THINK WE ARE MAKING AN INCREDIBLE STORY I THINK THEY
WE WILL TWO BE VERY HAPPY I LOVE YOU TOO MUCH AND I ONLY WANT US TO BE
TOGETHER MY LOVERS FOR ME IT IS AN HONOR TO BE ABLE TO WRITE TO YOU I SEND YOU KISSES AND
HUGS FERNANDO",0,51-60,España
40,"Maracaibo, Zulia, Venezuela",white,other,single,"I am a quiet man, I don't like partying, I spend all day reading, researching, working, I greatly appreciate silence and peace.",0,41-50,Venezuela
49,"Ann Arbor, MI 48108, USA",white,transport,single,"I believe in honesty, sincerity, I like listening to music, watching movies, traveling, walking, working out, dining out, watching Sports, etc. I'm not into mind games, lies, dishonesty, scams, etc.",0,41-50,USA
40,"Celaya, Gto., México",hispanic,other,single,"I consider myself fun and very friendly, an enemy of lies and people who feel more than they are and only want attention from others.",0,41-50,México
51,"Little Rock, AR, USA",hispanic,self-employed,separated,"Sincere, friendly, I like to go to the movies, I enjoy a good coffee, I like to talk, cook, I am very hostel",0,51-60,USA
50,"Boston, Massachusetts, United States",native american,military,single,"I am a Rebecca from U.S.A and wants to meet matured and serious guy for a longterm relationship or more. My hobbies are water sports,hiking,gulf,and reading",1,51-60,United States
60,"Norwich, UK",white,teacher,widowed,"I am an attractive intelligent lady. I like music, dancing and singing. I love the theatre, films, art and literature. I love walking and visiting historical places. I have travelled a lot. I love cooking and experiencing new food. I have lived in several European countries",0,61-70,UK
30,"Denver, Colorado, United States",white,accounting,single,"I am a sweet, bubbly, vivacious, and elegant woman I have a great attitude, and a great outlook on life. I enjoy simple things and complex things, but it doesn’t really matter as long as I am with someone who makes me smile. If you are looking for laughter, companionship, conversation and more (if the chemistry is there), send me a message and lets meet!",1,31-40,United States
44,"San Antonio, Texas, EE. UU.",hispanic,carer,separated,Clean tidy sincere educated sexy,0,41-50,EE. UU.
29,"Mimai, Florida, United States",asian,other,single,"i am an easy going low key person i also enjoy helping people,especially kid. I’m looking for someone who’s fun, close to their family,and can have educated conversation that challenge me a lot cause life is full My friends would say I’m easy to get along with, follow me on hangout at viviangorge465@gmail.com
Or FIGURE OUT MY NUMBER HERE… ""3three,3three,1one,7seven,0zero,1one,2two,4four,0zero,9nine""i will be waiting to here from You.",1,21-30,United States
35,"Borås, Sweden",hispanic,other,single,"Hello. I am a serious and happy woman. I enjoy good company, and I am a very sincere and transparent person.",0,31-40,Sweden
55,"Gera, Germany",white,other,single,single man my nature,1,51-60,Germany
40,"Alabama, United States",black,other,single,I WILL PREFER TO TALK ABOUT IT WHEN I MEET SOMEONE I WILL PREFER TO TALK ABOUT IT WHEN I MEET SOMEONE I WILL PREFER TO TALK ABOUT IT WHEN I MEET SOMEONE,1,41-50,United States
45,"Tokyo, Japan",asian,clerical,single,"Nice to meet you!
I'm takaki from japan
i like listening to music and learning other languages.",0,41-50,Japan
53,"Bogotá, Colombia",white,other,divorced,"Sincere and direct, in good humor, Greek son with a Venezuelan mother",0,51-60,Colombia
50,"Logan, Iowa, United States",white,military,divorced,"What will I do when I leave Army, after the goal has been achieved? I do not know yet but I love nature.. I also love teaching, helping people see things differently. So I am not worried about options. I will know for sure, and make a choice well ahead of time.",1,51-60,United States
49,Hail Saudi Arabia,white,medical,divorced,"Interesting , affectionate ,generous, intelligent both emotionally and mentally",0,41-50,Hail Saudi Arabia
49,"Quito, Ecuador",hispanic,security,single,I love the Indian food I don’t like the meat,0,41-50,Ecuador
53,"Holguín, Cuba",hispanic,carer,divorced,"I am serious, honest, faithful, loving, hard-working",0,51-60,Cuba
52,"New York, United States",mixed,engineering,single,"I can describe myself as very hardworking man, mature, simple , loving, loyal,honest, understand, respectful and fun to be with ..I give the best in anything i think is the best .i don’t cheat or lie and i believe in making an effort for my woman.",1,51-60,United States
32,"Guadalajara, Jalisco, Mexico",hispanic,technology,single,I'm nearly new in town .. I want to know people im original from here but i haven't touch this land since i was 8 years old,0,31-40,Mexico
39,"Young America, Minnesota, United States",white,contractor,widowed,"I’m Henry Jordan single 40yrs hard working easy going like to enjoy life as little as it is,,,life is to shot am on here to meet a soul mate if interested add me up and let get to chat and see how it goes thanks,,,,,",1,31-40,United States
50,"San Antonio, Texas, or Provo, Utah, United States",white,construction,divorced,"I’m Easy going man , nice , kind , reliable, humble, honest, trust worthy , passionate and affectionate, have a good sense of humor.Don’t mind the age and distance between us..
looking for a nice caring Woman who loves his family and gets along with others. Someone I can trust someone to laugh with because life is too short for games I’m looking for someone who is going to accept me for just being me. i hope your out there somewhere.",1,51-60,United States
41,"Dallas, Texas, United States",white,military,single,I am an independent man who loves working and planning and i am in search of a lovely woman who will forever remain my life partner as well as growing older together.,1,41-50,United States
45,"Perth WA, Australia",hispanic,manager,in relationship,I love Singaporean women they are smart and beautiful at the same time,0,41-50,Australia
44,"Vorkuta, Russia",white,engineering,widowed,"There are a dream, I hope you are met if you liked someone, I really love from the heart I am here for a really relationship,I am from NZ ,a new Zealand man but i came to Russian regions to work there and continue my life in a peaceful. I would like to study Hungary language from someone.",1,41-50,Russia
38,"Colima, Col., México",hispanic,other,divorced,"I am a happy, intelligent and confident woman",0,31-40,México
50,"Monterey, California, United States",white,clerical,widowed,"Well, i am Patrick Casillas Gonzales by real name. I was born 14th of APril , 1966 (50years ). I am 5 feet 9 tall in height, have a black hair and black eyes. I`m a Latin American/Hispanic by ethnic. I was born in Yucatan Penninsula Quintana Roo, Bacalar, Mexico but raised/grew up in Monetery, California before i got deployed here in nigeria for keeping the mission safe . I`m the only child that my parents gave birth to. I have been brought-up in a very discipline atmosphere where values and principles have always been given priority
It gives me great pleasure to give introduction of my family. My respected father name was Mr. Gonzales James while My Mom name was Sherry Gonzales . My father was from Mexico, but resided at Moneterey, California all his life. My Mom was originally from San Diego but resided at Monterey after she married my Dad and It was there that she lived until she died. My Dad was an Engineer/Contractor while my Mom was a business woman. I loved both of them, but God knows more than us. Sincerely, Robin`s mom was a wonderful wife. She tried for me after the death of my parents. She supported me on all kind of things. Recollectively, I was deployed to Taiwan when she got sick.
The illness was very horrible. I was updated about her illness (CANCER), I took an EMERGENCY LEAVE after the updates. I visited her at the hospital. At first, she got relieved with the illness. We both shared smiles,laughed and she informed me to be comfortable that nothing was gonna happen to her. The illness started later and was very serious. I kept asking the Dr., if she was gonna survived but they were n`t sure. It was 4 days after I visited her that she died. Sincerely, that day was extremely a horrible day for me. I was extremely dejected and was like following her. Sincerely, I can`t start to write all about my Past now. I think it would be better to do that,some other time or when we meet. Remembering it would start to make me feel dejected here. I`ve already forgotten everything and I`ve accepted that the Incidents was from God. May their (her, my Mom and Dad) gentle soul rest in perfect peace, I prayed.
. I would be honest and I would like you to know that since after the Incident has happened, God has always been there for me and my kid (Robin). He provides all my needs according to what I ask from Him. The past should be known as Past, It`s happiness that I want in my life now and I believe that all my unanswered prayers would surely be approved/answered by Him soon.",1,51-60,United States
42,"Dallas, Texas, United States",white,fashion,divorced,cool caring and loving gentle kind hearted easygoing responsible and hardworking passionate and honest,1,41-50,United States
39,"Buenos Aires, Argentina",hispanic,other,divorced,"Enjoy responsible, attentive sincerity without conflict",0,31-40,Argentina
47,"Medellín, Antioquia, Colombia",hispanic,other,single,"Enthusiastic worker, good company, cheerful, respectful, eager to find a very special woman to share moments, spaces and many things in common.",0,41-50,Colombia
43,"Johannesburg, South Africa",black,contractor,single,"Well behaved,good sense of humour,loving and love to be loved.",0,41-50,South Africa
36,"Rosemount, MN 55068, USA",hispanic,contractor,separated,"Hi, I am Colombian
Responsible loving worker
Normal. Without addiction",0,31-40,USA
56,"Mar del Plata, Provincia de Buenos Aires, Argentina",white,other,widowed,"Honest, sincere, very hard-working woman, loyal to my principles.",0,51-60,Argentina
51,"Edison, New Jersey, United States",white,other,widowed,"There are somethings you can’t explain, somethings you don’t want to see and there will be things you just can’t handle. I’m none of those things. I’ve found that finding the ONE has become a daunting task. Easy going, love jokes and good conversation. I have a great sense of humor and I bet if you are ever lucky enough to meet me I can make you laugh so hard you’d forget your name.",1,51-60,United States
27,"Odenese, Denmark, or Vienna, Austria",white,other,single,"I’m a person who has high integrity and has a very positive attitude. I am romantic, warm, tender, faithful, Loyal, caring and sensual. I love long touching, kisses, heart-to-heart talks. I am kind, honest and reliable. I strongly believe the fact that I am not perfect but I have a lot of good qualities such as sincerity, understanding and patience. I really love nature, long walks and just being in the forest or near the water and also like meeting new friend. I enjoy going out and spending my spare time in a company of good friends. I also like cooking something special to a special man l meet. I will be waiting for your reply and wish to hear from you.
I’m looking for good looking, sense of humour, Intelligent, calm, relaxed personality, Able to laugh at herself, Understanding, sympathetic, Conscientious, likes intelligent conversation, sincere man. I’m going to take you with who you are. (Did such a man exist)
mail me on sexyladyproper202@gmail.com so that l can send my pictures to you.",1,21-30,Austria
58,"Los Angeles, California, United States",native american,engineering,widowed,am just simple easy going,1,51-60,United States
32,"Amsterdam, Netherlands, or Houston, Texas, United States",white,medical,single,"I am Honest, Trustworthy, Respectful, Considerate, Passionate, Dedicated, Focused, Witty, Ambitious and a sense of Humor. I’m Fit, healthy, don’t have any destructive bad habits, take care of myself and my body, love a good glass of wine, cooking, I keep things clean,honest",1,31-40,United States
56,"Alabama, United States or Manchester United, United Kingdom",white,military,single,Cool AND straight forward. I hate liars AND cheats.,1,51-60,United Kingdom
38,"Ciudad de México, CDMX, México",hispanic,other,single,I am a determined and honest man,0,31-40,México
49,"San Carlos, California or Oklahoma city, United States",white,engineering,widowed,"Hello there i am Blake a single parent of one. i am a gentle man, love the good things of life and love to live life to the fullest i would like to meet my Soul mate, a woman with a good heat. I am reasonably new on social network i ended up here purely by accident via a link.i work as an independent contractor of international repute..I love meeting people.. being Single is lonely’ i like cooking, reading, hang-out with My family and love ones,looking forward in meeting a companion..",1,41-50,United States
39,"Rio de Janeiro, State of Rio de Janeiro, Brazil",mixed,medical,single,"Love life, travelling, nature, family, work, music and art!",0,31-40,Brazil
35,"Olmué, Región de Valparaíso, Chile",hispanic,other,single,"I am super sociable, I have had a bad time in love and I want something serious",0,31-40,Chile
30,"North Carolina, United States",black,fashion,single,Just a simple lady. I like the truth in all instances. I like my life.,1,31-40,United States
25,"17834 Porqueras, Girona, España",white,other,single,I like animals and walking,0,21-30,España
68,"new jersye, United States",white,other,divorced,"my wife is dead and i have child and i work as a civiil engineer
I lost her mother to leukemia cancer she died 3 years ago,ever since i have been lonely and been in the dark i was so afraid of going out and starting all over but thats in the past as i have moved on. I am into construction, I’m a Civil Engineer,I work for myself as a private contractor from home..I specialize on buildings like Real estate, Roads, Bridges, residential homes etc, I travel with my work alot..",1,61-70,United States
49,"Auburn, Washington, United States",Native American,military,single,"I consider myself to be a very down to earth person, easy to get along and fun to be. I have a positive attitude about life and try to make the most of every day. Friends have described me as outgoing, warm, intelligent, fun loving, and independent. I work full-time and work out regularly. Between the two I keep quit busy, not a lot of time to meet the Right lady but hope to some day. I enjoy outdoor activities boating, skiing, mountain biking, camping just to name a few. Someone with whom I share a strong physical and emotional connection. In the long-term, I believe that it is essential that we share similar values and that we have excellent communication with one another. u can reach me on my yah00 chat id",1,41-50,United States
58,"Lima, Perú",hispanic,clerical,single,"I am a happy social young man. I like to practice a little sports and dance and I am very responsible for my actions. I am a loving worker. I like to travel. I would like to meet a faithful, social and loving happy woman.",0,51-60,Perú
27,"Gent, Belgium",mixed,sales,single,"Im Single,never married and looking for my Life partner.I want someone who can take my breath away and knows that “build-up” is important. He has to know how to get down and dirty whether out the mountain four-wheeling or working on his car but also know how to clean up nice and know how to make a girl feel special out on the town. Shy guys are great and even those ones that pretend to be shy, but he needs to be able to warm up after a bit too and not be afraid to take control of the situation in an awkward moment. Not 100% sure if I believe in the soulmate thing but I definitely believe there are some people we are meant to meet, even if just for a little while. I consider myself to be an easy going, fun loving, caring and honest person. I believe in being committed to a relationship.. I like many things and I am fairly open to trying something new. I would like to meet someone who:
shares my interests, (not necessarily all, but at least some of them).is honest, easy going, fun loving and caring. would be committed to a relationship with the right person. would like to get to know me for who I am inside. is open to trying new things. I am very open minded about “the man of my dreams”. Age, circumstances, distance are NOT important.",1,21-30,Belgium
43,"Querétaro, México",hispanic,other,single,I love nature and enjoy life and know and I am respectful and romantic adventurer and a little bit of sport,0,41-50,México
