gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent
male,50 y.o.,"East Chicago, IN, USA",widowed,Royer6873,hispanic,-,-,from 19 to 86,want children,Straight,Other,non-smoker,occasional drinker,Serious Relationship
female,42 y.o.,"Mykolaiv, Mykolaiv Oblast, Ukraine, 54000",single,uaola1981,white,-,-,from 19 to 75,no children,Straight,Other,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage"
female,58 y.o.,"Tulsa, OK, USA",single,Dessarono55,black,Logistics,-,from 50 to 60,1-2 living elsewhere,Straight,Spiritual,non-smoker,social drinker,"Serious Relationship, Marriage"
male,60 y.o.,"Algiers [El Djazaïr], Algeria",single,maliktabib1964,white,-,-,from 19 to 50,no children,Straight,Muslim,non-smoker,never,Friendship
male,28 y.o.,"Santo Domingo de los Tsáchilas, Ecuador",single,Jaron26,hispanic,Ingeniero Agropecuario,-,from 25 to 30,no children,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage"
male,50 y.o.,"20900 Monza, Province of Monza and Brianza, Italy",single,Max73,white,logistics,-,from 44 to 56,no children,Straight,Other,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage"
female,37 y.o.,"Chillan, Chillán, Ñuble, Chile",single,Katchuka,hispanic,Asesor,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,"Friendship, Romance"
male,31 y.o.,"Port of Spain, Trinidad and Tobago",single,Jesus01,black,-,-,from 19 to 86,more than 2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Fun
male,36 y.o.,"Lima, Peru",single,EddieFleurty,white,-,-,from 19 to 55,no children,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage"
female,47 y.o.,"Adelaide SA, Australia",single,paulara,white,-,-,from 47 to 63,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship"
male,39 y.o.,"Llano La Cruz, Nicaragua",divorced,Waloo,hispanic,Oficinista,-,from 19 to 40,want children,Straight,Christian,non-smoker,social drinker,Serious Relationship
female,35 y.o.,"Reno, NV, USA",single,SexynClassy,black,Students,I'm the melody to your music and the cure to your music I love catering to my man. Looking for a FWB help me help you!,from 30 to 86,want children,Straight,Christian,light smoker,occasional drinker,"Fun, Friendship"
male,31 y.o.,"Barinas 5201, Barinas, Venezuela",single,Guillenj,hispanic,Comerciante,-,from 19 to 50,1-2 living with me,Straight,Other,light smoker,occasional drinker,"Friendship, Serious Relationship"
male,40 y.o.,"Denver, CO, USA",married,DenverTonyTonyTony,white,Business,-,from 19 to 86,no children,Straight,Spiritual,non-smoker,social drinker,"Fun, Friendship, Romance"
male,29 y.o.,"Buenos Aires, Argentina",single,Matias456,hispanic,Mecánico,-,from 19 to 86,no children,Straight,Atheist,non-smoker,never,"Fun, Friendship, Romance"
male,65 y.o.,"Bay City, MI, USA",widowed,MstWing,white,electrician,-,from 19 to 86,more than 2 living elsewhere,Straight,Christian,chain smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage"
male,35 y.o.,"Bucaramanga, Santander, Colombia",single,Orlando2024,white,-,-,from 30 to 40,no children,Straight,Other,non-smoker,social drinker,Serious Relationship
male,44 y.o.,"Broken Arrow, OK, USA",single,Fbpdq1,white,-,-,from 21 to 50,more than 2 living elsewhere,Straight,Christian,social smoker,social drinker,"Fun, Friendship, Romance"
male,40 y.o.,"Ciudad de México, CDMX, México",single,ElSergio83,hispanic,Tengo mi propio negocio,-,from 28 to 49,want children,Straight,Spiritual,social smoker,never,"Friendship, Romance"
male,36 y.o.,"Valparaíso, Chile",single,JohnRoss,white,"Luthier, Sonidista, Músico y escritor","Soy alguien sencillo, con mucho para dar, quiero encontrar a alguien para viajar por el mundo, ser felicites y vivir el amor, sólo pido que sea recíproco y que ambos nos esforcemos para salir adelante y crecer como persona.",from 27 to 35,want children,Straight,Spiritual,social smoker,social drinker,"Friendship, Romance, Serious Relationship"
male,55 y.o.,"Bellefontaine, OH 43311, USA",divorced,Muller1968,hispanic,-,-,from 35 to 56,1-2 living with me,Straight,Spiritual,social smoker,social drinker,"Romance, Serious Relationship"
male,35 y.o.,"Barcelona, España",single,Marek,white,Tecnico de cintas,Me encanta hacer deporte.,from 25 to 40,no children,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance"
male,31 y.o.,"Riga, Latvia",single,johndoer,white,-,-,from 19 to 86,no children,Straight,Atheist,non-smoker,social drinker,Fun
male,57 y.o.,"Maracay, Aragua, Venezuela",widowed,Awakeness,hispanic,Profesor Universitario,-,from 40 to 50,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage"
female,36 y.o.,"New York, NY, USA",married,Sunflower87,hispanic,-,-,from 35 to 60,1-2 living with me,Straight,Christian,non-smoker,social drinker,Friendship
male,29 y.o.,"Durban, South Africa",single,Kingokuhle,black,-,I'm fun.loving.friendly.alwas honry,from 27 to 40,no children,Straight,Atheist,non-smoker,social drinker,"Fun, Friendship, Romance"
male,34 y.o.,"San Felipe, Yaracuy, Venezuela",single,Frankys,hispanic,Ingeniero y Fotógrafo,-,from 19 to 86,want children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage"
male,38 y.o.,"Puerto Píritu, Anzoategui, Venezuela",single,Miller1604,hispanic,Tecnico Electricista,-,from 19 to 86,want children,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage"
female,72 y.o.,"Anderson, SC, USA",widowed,Linda71,white,Retired,"I'm a friendly, caring, not jealous and people person. I love to ride on motorcycles, love the beach and mountains.",from 68 to 75,1-2 living elsewhere,Straight,Other,non-smoker,social drinker,"Serious Relationship, Marriage"
male,39 y.o.,"Caracas, Distrito Capital, Venezuela",separated,Rigoberto2023,white,Comerciante,-,from 35 to 50,more than 2 living with me,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance"
female,43 y.o.,"Geneva, Switzerland",single,Naturaleza,hispanic,Srevicio social,"Me gusta la naturaleza por tanto respeto la vida de todo ser vivo. Soy alegre, buen sentido del humor, tengo mucha calidez.",from 30 to 50,1-2 living elsewhere,Straight,Other,non-smoker,social drinker,"Serious Relationship, Marriage"
male,30 y.o.,"Nuevo Laredo, Tamps., México",single,alanMex,hispanic,oficinista,-,from 25 to 36,no children,Straight,Christian,non-smoker,never,Serious Relationship
female,62 y.o.,"Chemnitz, Germany",separated,yolymar,hispanic,-,"Me gustaria encontrar a alguien que quiera compartir conmigo de mi amistad, que me consienta, que me valore como persona, que sea alegre, que disfrute de las cosas buenas de la vida",from 60 to 75,1-2 living elsewhere,Straight,Spiritual,non-smoker,social drinker,"Friendship, Romance, Serious Relationship"
female,47 y.o.,"Camagüey, Cuba",single,ClaudiaV,white,Contador,-,from 19 to 86,1-2 living elsewhere,Straight,Other,non-smoker,social drinker,Serious Relationship
male,50 y.o.,"35300 Santa Clara, Departamento de Treinta y Tres, Uruguay",divorced,tincho73,white,funcionario publico,-,from 30 to 45,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Fun
female,39 y.o.,"Galway, Ireland",married,Anna22,white,-,-,from 19 to 86,no children,Bisexual,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance"
male,46 y.o.,"San Antonio, TX, USA",divorced,Divad2023,hispanic,-,-,from 19 to 40,no children,Straight,Christian,non-smoker,occasional drinker,"Romance, Serious Relationship, Marriage"
male,41 y.o.,"Denver, CO, USA",single,Mario16,native american,-,-,from 25 to 60,1-2 living elsewhere,Straight,Christian,social smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship"
male,50 y.o.,"Granby, QC, Canada",divorced,Alexis2023,white,Ingeniero,"Hombre emprendedor y de iniciativa que busca una relacion con un mujer de iniciativa, fiel, leal y atractiva que busque una relacion a largo plazo llena de desafios.",from 28 to 35,want children,Straight,Christian,non-smoker,social drinker,Serious Relationship
female,53 y.o.,"Lima, Perú",separated,Pilar15,hispanic,Administrativo,-,from 55 to 72,1-2 living with me,Straight,Other,social smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage"
female,58 y.o.,"Lingen, Germany",divorced,Moony,white,-,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,social smoker,never,Serious Relationship
male,30 y.o.,"Maracay, Aragua, Venezuela",single,eribert,white,-,-,from 40 to 52,no children,Straight,Christian,non-smoker,occasional drinker,Serious Relationship
male,40 y.o.,"Milan, Metropolitan City of Milan, Italy",separated,Solitario39,white,Técnico,-,from 19 to 86,1-2 living elsewhere,Straight,Other,social smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage"
male,55 y.o.,"Caracas, Distrito Capital, Venezuela",divorced,jesus151168,hispanic,Bienes raíces,-,from 30 to 62,1-2 living elsewhere,Straight,Spiritual,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship"
female,22 y.o.,"Richardson, TX, USA",single,noelbraunweighner,mixed,Student/Hospital Intern,"My name is Noel Braun, I am 21 years old, I am a Honest, Trustworthy, Truthful, Caring, Loving, Respectful, Polite, Smart, Thoughtful, Kind, Generous, Compassionate, Mature Person. I am looking for a person who is an Honest, Caring, Loving, Trustworthy, Respectful, Polite, Smart, Thoughtful, Loving, Compassionate, Truthful, Mature, Friendly Person who honestly and truthfully wants to be my friend and who wants to live with me and my family because I feel like I am a lone sometimes, my mother and father are divorced, my childhood friends that I have developed childhood friendships with have drifted apart from me, I feel Sad, Stressed and Lonely because I do not have a friend that I can talk to and a friend that loves me, cares about me, thinks about me and understands me and I want a friend that loves me, cares about me, thinks about me and understands me and lets me know that I am not a lone, I want a partner that I know that can love me, care about me, think about me and understand me, my father's relatives and people have disowned him and disowned me, I have childhood friends, childhood family friends, friends and family friends but they are busy with work and family matters and I am looking for a person that can honestly and truthfully love me, care about me, think about me and understand me and a person who can become my friend that can possibly live with me because that would be a very happy blessing from God in my current situation.",from 19 to 24,want children,Bisexual,Christian,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship"
male,59 y.o.,"La Habana, Cuba",divorced,Vity,hispanic,Empresario,-,from 35 to 65,want children,Straight,Atheist,non-smoker,never,"Serious Relationship, Marriage"
male,32 y.o.,"Lelystad, Netherlands",single,OscarRubio,hispanic,-,-,from 24 to 40,want children,Straight,Christian,social smoker,social drinker,"Fun, Friendship"
male,54 y.o.,"Houston, Texas, EE. UU.",divorced,ER501,hispanic,Comerciante,-,from 40 to 50,more than 2 living elsewhere,Straight,Christian,non-smoker,social drinker,Friendship
male,34 y.o.,"Managua, Nicaragua",single,Boris577,white,Ventas,"Soy una persona apasionada por la vida y todo lo que tiene para ofrecer. Soy un alma creativa con una pasión por la música, el arte y la exploración del mundo que me rodea.

Disfruto de las conversaciones profundas y significativas, así como de las risas contagiosas que solo pueden surgir de una buena conexión. Soy alguien que valora la autenticidad y la honestidad, y creo que la comunicación abierta es fundamental en cualquier relación.

Cuando no estoy sumergido en mi trabajo, me encanta pasar tiempo al aire libre, ya sea explorando senderos naturales, practicando deportes o simplemente disfrutando de un picnic en el parque. También disfruto de las noches tranquilas en casa, viendo una película acogedora o leyendo un buen libro.

Estoy aquí con la esperanza de encontrar a alguien especial con quien compartir aventuras, risas y momentos significativos. Si eres alguien que valora la honestidad, la empatía y la diversión, ¡definitivamente me encantaría conocerte!",from 20 to 30,no children,Straight,Christian,light smoker,social drinker,"Fun, Friendship, Romance"
male,37 y.o.,"La Paz, Bolivia",single,raul_mars,hispanic,Trabajo entre gestor,"Viajes, gym, fiestas, futbol",from 19 to 86,no children,Straight,Christian,social smoker,social drinker,"Romance, Serious Relationship, Marriage"
male,44 y.o.,"Santa Cruz de la Sierra, Bolivia",single,Rene2023,hispanic,Ingeniero agrónomo,-,from 19 to 35,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship"
female,53 y.o.,"Fajardo, Puerto Rico",separated,ImpBasic,white,Áma de casa,-,from 45 to 65,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Fun, Romance"
male,21 y.o.,"Albuquerque, NM, USA",single,Devinator897,white,Childcare Worker,-,from 19 to 20,don't want children,Straight,Other,non-smoker,never,Serious Relationship
male,52 y.o.,"Helsinki, Finland",single,Teemu74,white,-,-,from 20 to 70,no children,Straight,Atheist,light smoker,occasional drinker,Romance
male,50 y.o.,"San Diego, CA, USA",single,Morad,white,-,"I am friendly, generous, honest and have a good sense of humor.",from 19 to 86,don't want children,Straight,Other,non-smoker,social drinker,Serious Relationship
female,47 y.o.,"Daytona Beach, FL, USA",single,Kitty197627,white,Delivery driver,-,from 30 to 45,1-2 living elsewhere,Straight,Other,light smoker,occasional drinker,"Fun, Romance, Serious Relationship"
female,42 y.o.,"Dumaguete, Negros Oriental, Philippines",single,jean2drescue,asian,Chat Support Representative,"Friendly, outgoing, adventurous, love dogs, nature and photography",from 19 to 86,no children,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage"
male,40 y.o.,"Bejuma 2040, Carabobo, Venezuela",divorced,Ederjga042,hispanic,Publicista,Me gusta conocer personas nuevas y visitar nuevos lugares,from 25 to 32,want children,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage"
male,48 y.o.,"Montevideo, Departamento de Montevideo, Uruguay",single,Juape,white,Montaje,-,from 19 to 86,more than 2 living elsewhere,Straight,Atheist,light smoker,never,Serious Relationship
female,46 y.o.,"Lima, Perú",divorced,kely1977,white,contadora,"romántica, cariñosa, responsable, honesta, divertida, me justa cocinar, viajar, películas, bailar",from 40 to 47,want children,Straight,Other,non-smoker,occasional drinker,"Romance, Serious Relationship, Marriage"
