,gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent,AFGHANISTAN
0,male,50 y.o.,"East Chicago, IN, USA",widowed,Royer6873,hispanic,-,-,from 19 to 86,want children,Straight,Other,non-smoker,occasional drinker,Serious Relationship,AFGHANISTAN
279,female,48 y.o.,"Kyiv, Ukraine, 02000",divorced,alenika745,white,???????€??,-,from 45 to 55,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Romance, Serious Relationship",ALBANIA
407,male,50 y.o.,"Kyiv, Ukraine, 02000",single,Attila,white,-,-,from 40 to 55,no children,Straight,Atheist,non-smoker,social drinker,Serious Relationship,ALBANIA
439,female,48 y.o.,"Kyiv, Ukraine, 02000",single,Janata,white,-,-,from 45 to 60,no children,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",ALBANIA
473,female,48 y.o.,"Kyiv, Ukraine, 02000",single,Julia2112,white,-,-,from 45 to 53,1-2 living with me,Straight,Other,non-smoker,never,Serious Relationship,ALBANIA
656,female,36 y.o.,"Kyiv, Ukraine, 02000",single,Liliya27,white,-,-,from 35 to 53,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,ALBANIA
1180,female,36 y.o.,"Kyiv, Ukraine, 02000",single,Kler_ka,white,Finance,-,from 34 to 45,no children,Straight,Christian,non-smoker,social drinker,"Serious Relationship, Marriage",ALBANIA
1291,female,37 y.o.,"Kyiv, Ukraine, 02000",single,Mariia,white,Finance,"Smart,with a sense of humor,curious.",from 35 to 45,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",ALBANIA
1510,female,50 y.o.,"Kyiv, Ukraine, 02000",single,natalies,white,-,-,from 37 to 50,no children,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",ALBANIA
1587,female,34 y.o.,"Kyiv, Ukraine, 02000",single,laluna,white,Sales assistant,-,from 27 to 48,no children,Straight,Spiritual,non-smoker,social drinker,"Serious Relationship, Marriage",ALBANIA
1826,female,39 y.o.,"Kyiv, Ukraine, 02000",single,ElenaElena,white,-,-,from 32 to 42,no children,Straight,Christian,non-smoker,social drinker,"Serious Relationship, Marriage",ALBANIA
1891,female,35 y.o.,"Kyiv, Ukraine, 02000",single,Dinna22,white,-,-,from 31 to 40,want children,Straight,Christian,non-smoker,never,Marriage,ALBANIA
1917,female,34 y.o.,"Kyiv, Ukraine, 02000",single,KayaRose,white,-,-,from 30 to 40,no children,Straight,Christian,non-smoker,never,Marriage,ALBANIA
1960,male,52 y.o.,"Kyiv, Ukraine, 02000",single,ismailo,middle eastern,-,-,from 24 to 45,no children,Straight,Muslim,non-smoker,social drinker,Friendship,ALBANIA
2079,female,40 y.o.,"Kyiv, Ukraine, 02000",single,KristinaRr,white,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship",ALBANIA
2297,female,36 y.o.,"Kyiv, Ukraine, 02000",divorced,Iry,white,University,-,from 30 to 44,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Serious Relationship, Marriage",ALBANIA
2300,female,39 y.o.,"Kyiv, Ukraine, 02000",divorced,Laura34,white,-,-,from 19 to 86,don't want children,Straight,Christian,non-smoker,never,"Fun, Friendship",ALBANIA
