age,location,ethnicity,occupation,status,description,scam,age_group,country
62,"14440 Villanueva de C??rdoba, C??rdoba, Espa??a",white,technology,separated,"I'm going by right,639 I am a very good friend of my friends and from time to time 541 when I kiss with passion..., when I greet I shake my hand, 547 a hug or a kiss is sincerity, falsehoods and lies are better not to listen to....etc",0,61-70,Spain
33,"Frankfurt, Germany",white,carer,single,"Am loving,caring,honest,passionate,faithful and hardworking.",1,31-40,Germany
51,"Piscataway, New Jersey, or New York, United States",other,engineering,divorced,"I?€?m ready to explore the next chapter in my life and hopefully find someone to finish each other?€?s book.. . My ultimate goal is to find the perfect for me?€? someone to share what lies ahead. I?€?m considered by others to be smart, ambitious, generous, charitable, modestly confident, charming, polished, and very funny. My close friends would say, if I were a brand, I would represent honesty, integrity, and commitment. If I were asked what I perceived to be my strengths, they would include, being a great communicator two ears, one mouth, a great planner, yet spontaneous. I am both a hard and smart worker, I have accomplished every childhood goal . I have a deep appreciation of ?€?being in love. yet I am modern in my beliefs of individualism, shared roles and equality in a relationship.",1,51-60,United States
41,"Tijuana, B.C., M??xico",hispanic,other,single,"40 good vibes, very attentive, respectful, a little shy, happy, I'm looking for girls to explore new age sex, adventures, one night, occasional friendship.",0,41-50,Mexico
42,"Guayaquil, Ecuador",hispanic,technology,single,"I am a normal, happy, fun person. I don't drink much. I don't like cigarettes. Meetings with friends.",0,41-50,Ecuador
45,"Caracas, Distrito Capital, Venezuela",hispanic,teacher,single,"Dreamer, resilient, capable of loving as if there were no tomorrow. With a sense of humor, extroverted, irreverent and with the desire to be happy and make my partner happy.",0,41-50,Venezuela
57,Singapore,asian,retired,divorced,I am Singaporean Chinese and am looking for a soulmate/ companion to spend quality time together and to engaged in a mutually enjoyable and beneficial physical activities.,0,51-60,Singapore
58,"Kabul, Afghanistan",mixed,other,divorced,Am General Olivier i have been divorced years back. Am looking for a Good woman i can spend the rest of my life with.,1,51-60,Afghanistan
25,"Paris, France",middle eastern,self-employed,single,"i am loving caring and witty love making people around happy love playing stay with my friends,i also love cooking when i am free",1,21-30,France
37,"Colorado Springs, United States",white,military,single,am cool and not judgemental,1,31-40,United States
41,"Antalya, Turkey",mixed,other,divorced,"I live in Antalya, I am alone, I am 1.90 tall and I am looking for friends and family.",0,41-50,Turkey
58,"Santa Marta, Magdalena, Colombia",hispanic,legal,divorced,"I am a serious, respectful, calm, kind, reliable and loyal man. Like a good Sagittarius, I like to travel a lot, get to know countries and people, I love adventure and cooking.",0,51-60,Colombia
26,"Houston, Texas, United States",white,other,single,i am a nice and loving girl.,1,21-30,United States
